Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,Age Group,Salary Band,Experience Level,Employee Tenure Group,Attrition Percentage,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,Employee Risk Category
35,0,0.016149580244313087,16,3,14,1,0.8910731041795485,4,1,2,-0.8662608642436216,0.304397134281837,0,13,3,3,1,6,5,3,5,4,0,3,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,26-35,,Mid Level,Junior Employee,0.0,Travel Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,Low Risk
29,0,-1.6101414829549299,15,2,15,4,-0.8311549653184892,2,2,3,-0.4908110866307471,-0.22923679800937558,0,12,3,4,0,10,3,3,9,5,0,8,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,26-35,,Mid Level,Experienced Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,Medium Risk
31,0,-0.32844562979333136,26,1,16,1,-1.7168722582031943,3,1,3,-0.7632087181529345,0.12042904964417642,1,17,3,4,1,5,1,2,5,2,4,3,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,26-35,,Entry Level,Junior Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,Medium Risk
34,0,1.3474274780156446,19,2,18,2,1.333931750621901,3,1,4,-0.8163283810862784,-0.7807194291157011,0,11,3,3,1,3,2,3,2,2,1,2,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,26-35,,Entry Level,New Employee,0.0,Travel Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,Low Risk
28,1,-1.7340965944792623,24,3,19,3,-0.7819484490471167,2,1,3,-0.9508273676335051,-0.19199345008807683,5,14,3,2,0,6,4,3,4,2,0,3,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,26-35,,Mid Level,Junior Employee,0.07,Travel Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Medium Risk
29,0,1.4540288739265705,21,4,20,2,-0.7327419327757442,4,3,1,0.738802870950297,-0.5787621047273755,1,11,3,3,1,10,1,3,10,9,8,8,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,26-35,Low Salary,Mid Level,Experienced Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced,Low Risk
32,0,-1.1614239792368461,5,2,21,1,0.6942470390940585,4,1,2,-0.6809794799321182,0.10398576018458414,0,12,3,4,2,7,5,2,6,2,0,5,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,26-35,,Mid Level,Experienced Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,High Risk
22,0,0.7945876806171215,16,2,22,4,1.4815512994360187,4,1,4,-0.7581092305113335,-0.9822551306973706,1,13,3,2,2,1,2,2,1,0,0,0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,18-25,,Entry Level,New Employee,0.0,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Divorced,Medium Risk
53,0,1.0325814947438399,2,4,23,1,0.5958340065513135,2,4,4,1.8961740869419934,1.083274999111413,2,16,3,3,0,31,3,3,25,8,3,7,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,46-55,Low Salary,Executive Level,Veteran Employee,0.0,Travel Rarely,Sales,Life Sciences,Female,Manager,Married,Low Risk
38,0,-1.06969719670884,2,3,24,4,-1.0279810304039791,3,1,4,-0.5437182709123576,-1.40640767419352,5,11,3,3,0,6,3,3,3,2,1,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,36-45,,Mid Level,Junior Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,Medium Risk
24,0,-0.32100832310187144,11,2,26,1,1.4815512994360187,4,2,3,-0.5294822012462215,-0.8546439612160903,0,18,3,4,1,5,5,2,4,2,1,3,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,18-25,,Entry Level,Junior Employee,0.0,Non-Travel,Research & Development,Other,Female,Manufacturing Director,Divorced,Medium Risk
36,1,1.0301023925133532,9,4,27,3,0.7926600716368035,2,1,1,-0.6578193068931802,-1.0297579669139705,7,23,4,2,0,10,4,3,5,3,0,3,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,36-45,,Mid Level,Junior Employee,0.07,Travel Rarely,Sales,Life Sciences,Male,Sales Representative,Single,Low Risk
34,0,-0.9507002896454807,7,4,28,1,-0.6343289002329991,3,3,2,1.1667348755413154,0.9809611980295055,0,11,3,3,0,13,4,3,12,6,2,11,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,26-35,Low Salary,Senior Level,Loyal Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Female,Research Director,Single,Low Risk
21,0,-1.020115152099107,15,2,30,3,1.4815512994360187,3,1,4,-1.119960374413272,0.6981928356987392,1,14,3,4,0,0,6,3,0,0,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,18-25,,,,0.0,Travel Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,Low Risk
34,1,-0.2565516651092185,6,1,31,2,0.841866587908176,3,1,1,-0.7527972642179991,0.3919541371307771,2,11,3,3,0,8,2,3,4,2,1,3,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,26-35,,Mid Level,Junior Employee,0.07,Travel Rarely,Research & Development,Medical,Male,Research Scientist,Single,Low Risk
53,0,1.188764935264499,5,3,32,3,-0.3882963188761366,3,5,3,2.6753333028482813,-0.5028699995292573,4,11,3,4,1,26,3,2,14,13,4,8,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,46-55,Low Salary,Executive Level,Loyal Employee,0.0,Travel Rarely,Research & Development,Other,Female,Manager,Divorced,Medium Risk
32,1,0.7995458850780948,16,1,33,2,0.3005949089230785,1,1,1,-0.549030237205692,-1.3537048233614937,1,22,4,2,0,10,5,3,10,2,6,7,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,26-35,,Mid Level,Experienced Employee,0.07,Travel Frequently,Research & Development,Life Sciences,Female,Research Scientist,Single,High Risk
42,0,-0.2763844829531117,8,4,35,3,-0.8803614815898617,3,2,2,0.06843272473149725,0.964096285763257,0,11,3,4,1,10,2,3,9,7,4,2,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,36-45,Low Salary,Mid Level,Experienced Employee,0.0,Travel Rarely,Sales,Marketing,Male,Sales Executive,Married,Low Risk
44,0,-0.806912360277255,7,4,36,1,-1.1756005792180968,2,3,4,0.7957471496148416,-1.7172842236347006,3,14,3,4,1,24,4,3,22,6,5,17,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,36-45,Low Salary,Executive Level,Veteran Employee,0.0,Travel Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,Low Risk
46,0,-0.2416770517262986,2,4,38,2,0.841866587908176,3,5,1,2.644098941043475,1.1958482884886217,3,12,3,4,0,22,2,2,2,2,2,1,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,46-55,Low Salary,Executive Level,New Employee,0.0,Travel Rarely,Sales,Marketing,Female,Manager,Single,Medium Risk
33,0,0.30124633675027795,2,3,39,3,0.5958340065513135,3,1,4,-0.8513873586222853,-1.074168902548425,4,11,3,4,0,7,3,3,1,1,0,0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,26-35,,Mid Level,New Employee,0.0,Travel Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,Low Risk
44,0,1.627566030060636,10,4,40,4,-1.2248070954894692,3,2,4,-0.008059589892517928,0.6757062860104079,2,13,3,4,0,9,5,4,4,2,1,3,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,36-45,,Mid Level,Junior Employee,0.0,Travel Rarely,Research & Development,Other,Male,Healthcare Representative,Married,Medium Risk
30,0,-1.679556345408556,9,2,41,4,0.841866587908176,2,1,3,-0.9130061676249642,0.2535213156119874,1,13,3,1,0,10,5,3,10,0,1,8,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,26-35,,Mid Level,Experienced Employee,0.0,Travel Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,Low Risk
39,1,0.22935237206616507,5,3,42,4,-0.4867093514188816,3,2,4,-0.9385036058329693,-1.5428729226145808,3,14,3,3,1,19,6,4,1,0,0,0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,36-45,,Senior Level,New Employee,0.07,Travel Rarely,Sales,Technical Degree,Male,Sales Representative,Married,Low Risk
24,1,0.02606598916625969,1,3,45,2,-0.2406767700620191,3,1,4,-0.8945205249241606,-1.587143317313483,2,16,3,1,1,6,2,2,2,0,2,0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,18-25,,Mid Level,New Employee,0.07,Travel Rarely,Research & Development,Medical,Male,Research Scientist,Married,Medium Risk
43,0,1.1664530151901191,2,2,46,4,0.3005949089230785,4,1,3,-0.8197280395140124,1.0695019874273102,1,12,3,4,2,6,3,2,5,3,1,4,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,36-45,,Mid Level,Junior Employee,0.0,Travel Rarely,Research & Development,Medical,Female,Research Scientist,Divorced,Medium Risk
50,1,0.16489571407351214,3,2,47,1,0.9894861367222936,2,1,3,-0.8116538507481441,-1.4761159782273472,1,14,3,3,0,3,2,3,3,2,0,2,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,46-55,,Entry Level,Junior Employee,0.07,Travel Rarely,Sales,Marketing,Male,Sales Representative,Married,Medium Risk
35,0,0.2169568609137318,2,3,49,4,1.5307578157073911,3,1,4,-0.9538020687577723,-0.6501568999878274,1,13,3,1,0,2,3,3,2,2,2,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,26-35,,Entry Level,New Employee,0.0,Travel Rarely,Sales,Marketing,Female,Sales Representative,Married,Low Risk
36,0,0.12275097615523907,5,4,51,2,0.7926600716368035,2,1,1,-0.6552695630723797,-0.174425833144068,9,14,3,4,1,6,3,4,1,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,36-45,,Mid Level,New Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,High Risk
33,0,0.8392115207658811,1,3,52,3,-1.1756005792180968,4,2,1,-0.23944884163016386,-1.5628297354629748,2,19,3,1,2,10,3,3,5,3,1,3,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,26-35,,Mid Level,Junior Employee,0.0,Travel Frequently,Sales,Life Sciences,Female,Sales Executive,Married,Low Risk
35,0,-0.8391406892735814,4,2,53,3,0.448214457737196,3,1,4,-0.967188223816975,-0.4782753358076449,1,12,3,3,1,1,3,3,1,0,0,0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,26-35,,Entry Level,New Employee,0.0,Travel Rarely,Research & Development,Other,Male,Laboratory Technician,Divorced,Low Risk
27,0,1.0846426415840595,2,4,54,4,-1.6184592256604493,3,1,1,-0.8843215496409585,0.7591876017283379,1,13,3,4,1,1,6,3,1,0,0,0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,26-35,,Entry Level,New Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,Low Risk
26,1,1.3746976025509978,25,3,55,1,-0.8803614815898617,1,1,3,-0.8945205249241606,-0.5277457451219738,1,12,3,3,0,1,2,2,1,0,0,1,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,26-35,,Entry Level,New Employee,0.07,Travel Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Medium Risk
27,0,0.4747834928843435,8,3,56,4,-1.4216331605749593,3,3,3,0.4723546416766441,-1.5934676594133264,1,15,3,4,0,9,0,3,9,8,1,7,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,26-35,Low Salary,Mid Level,Experienced Employee,0.0,Travel Frequently,Sales,Life Sciences,Male,Sales Executive,Single,Low Risk
30,0,-0.2020114160385122,1,2,57,3,-0.3882963188761366,3,2,4,-0.5294822012462215,-0.49640511649386204,1,23,4,4,0,12,2,3,12,8,3,7,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,26-35,,Senior Level,Loyal Employee,0.0,Travel Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,Low Risk
41,1,1.3821349092424577,12,3,58,2,-0.8311549653184892,3,5,3,2.7711611747800338,0.27642948810697493,1,12,3,4,0,23,0,3,22,15,15,8,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,36-45,Low Salary,Executive Level,Veteran Employee,0.07,Travel Rarely,Research & Development,Technical Degree,Female,Research Director,Married,Low Risk
34,0,0.6507997512488957,23,4,60,2,0.3005949089230785,3,2,3,-0.41113159223073126,-0.6013891953512589,0,20,4,3,0,10,2,3,9,5,8,7,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,26-35,,Mid Level,Experienced Employee,0.0,Non-Travel,Sales,Marketing,Male,Sales Executive,Single,Low Risk
37,0,-0.977970414180834,19,2,61,2,0.349801425194451,3,1,2,-0.7396235878105298,-0.5742647947897093,4,21,4,1,0,8,1,3,1,0,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,36-45,,Mid Level,New Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,Low Risk
46,0,1.0127486768999467,5,4,62,1,1.5799643319787637,3,2,4,-0.15530729554374717,0.8617824846813495,4,21,4,3,0,14,4,3,9,6,0,8,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,46-55,,Senior Level,Experienced Employee,0.0,Travel Frequently,Sales,Marketing,Male,Sales Executive,Single,Medium Risk
35,0,1.0573725170487065,8,1,63,4,-1.4708396768463317,4,1,4,-0.8996200125657616,-1.3240506859600067,1,19,3,4,0,1,2,3,1,0,0,1,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,26-35,,Entry Level,New Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Low Risk
48,1,-0.43752612793474405,1,2,64,1,1.5799643319787637,2,3,3,-0.23838644837149697,0.7000198678609162,9,13,3,4,0,23,2,3,1,0,0,0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,46-55,,Executive Level,New Employee,0.07,Travel Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Medium Risk
28,1,1.5655884742984698,5,4,65,3,-0.7819484490471167,3,1,3,-0.6505950327342455,-0.44046982414413793,1,13,3,3,0,2,3,2,2,2,2,2,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,26-35,,Entry Level,New Employee,0.07,Travel Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Single,Medium Risk
44,0,1.699459994744749,1,5,68,2,0.448214457737196,3,2,1,-0.22287550679496057,-1.448148332052485,5,21,4,3,1,9,2,2,4,3,1,3,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,36-45,,Mid Level,Junior Employee,0.0,Travel Rarely,Sales,Marketing,Female,Sales Executive,Divorced,High Risk
35,0,0.7301310226244685,11,2,70,3,0.645040522822686,2,3,1,0.7184049203838929,-0.8448060957274455,2,13,3,3,1,10,3,3,4,0,2,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,26-35,Low Salary,Mid Level,Junior Employee,0.0,Non-Travel,Research & Development,Medical,Male,Healthcare Representative,Married,High Risk
26,0,1.5879003943728498,23,3,72,3,-0.9295679978612341,2,2,4,-0.4984603180931486,1.0010585518134516,7,19,3,3,1,5,2,2,2,2,0,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,26-35,,Entry Level,New Employee,0.0,Travel Rarely,Sales,Marketing,Female,Sales Executive,Married,Medium Risk
33,0,-0.7127064755187623,1,2,73,1,1.5799643319787637,3,3,4,1.477803621678977,0.11705606719092672,1,12,3,3,0,15,1,3,15,14,8,12,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,26-35,Low Salary,Senior Level,Loyal Employee,0.0,Travel Frequently,Research & Development,Life Sciences,Female,Research Director,Single,Medium Risk
35,0,0.12523007838572572,18,5,74,2,0.251388392651706,3,3,1,0.5452348192211919,-0.4612698826058444,1,22,4,4,1,9,3,2,9,8,1,8,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,26-35,Low Salary,Mid Level,Experienced Employee,0.0,Travel Frequently,Sales,Life Sciences,Male,Sales Executive,Married,Medium Risk
35,0,0.8416906229963679,23,4,75,3,-1.7660787744745667,3,1,1,-0.5288447652910213,0.23735910802349927,3,15,3,3,1,4,3,3,2,2,2,2,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,26-35,,Entry Level,New Employee,0.0,Travel Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,High Risk
31,0,-0.36563216325063114,7,4,76,4,-0.8803614815898617,3,2,4,-0.12492284834587446,-0.6725029087406067,3,22,4,4,1,10,3,2,7,7,1,7,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,26-35,,Mid Level,Experienced Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,Medium Risk
37,0,0.7747548627732282,1,4,77,1,-0.7327419327757442,2,2,3,-0.10834951351067117,-1.6336623669812185,1,18,3,3,1,7,2,4,7,5,0,7,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,36-45,,Mid Level,Experienced Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,Low Risk
32,0,-0.9308674718015876,1,3,78,1,-1.6184592256604493,3,2,4,-0.0724406213677307,-0.48291318668086325,1,22,4,2,1,9,3,3,9,8,7,8,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,26-35,,Mid Level,Experienced Employee,0.0,Travel Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,Medium Risk
38,0,-0.3705903677116045,29,5,79,4,-0.7819484490471167,3,2,4,-0.8705104372782891,-1.2447855983086387,1,11,3,4,0,10,2,3,10,3,9,9,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,36-45,,Mid Level,Experienced Employee,0.0,Travel Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,Low Risk
50,0,0.46238798173191026,7,2,80,2,-1.1263940629467242,2,5,3,2.6001158601346663,0.33559722197439673,5,12,3,4,1,29,2,2,27,3,13,8,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,46-55,Low Salary,Executive Level,Veteran Employee,0.0,Travel Rarely,Research & Development,Medical,Female,Research Director,Divorced,Medium Risk
59,0,1.5680675765289565,25,3,81,1,1.6291708482501361,3,3,1,0.24096538993899816,-1.6807435803911621,7,11,3,4,0,28,3,2,21,16,7,9,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,55+,Low Salary,Executive Level,Veteran Employee,0.0,Travel Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Medium Risk
36,0,1.0424979036657867,8,3,83,3,-0.3390898026047641,3,3,3,0.7634503945513685,-0.8588601892826525,1,13,3,2,3,17,2,3,17,14,12,8,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,36-45,Low Salary,Senior Level,Loyal Employee,0.0,Travel Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Divorced,Low Risk
55,0,0.08308534046745267,8,3,84,4,-1.6184592256604493,3,4,3,1.7536009116288984,0.761295715761619,2,14,3,3,3,21,2,3,5,0,0,2,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,46-55,Low Salary,Executive Level,Junior Employee,0.0,Travel Rarely,Research & Development,Medical,Female,Manager,Divorced,Medium Risk
36,0,0.9730830412121604,11,3,85,2,1.432344783164646,2,2,2,-0.0008353157335831605,1.1725184931869779,1,13,3,3,0,6,3,3,6,5,0,3,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,36-45,,Mid Level,Experienced Employee,0.0,Travel Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,Low Risk
45,0,1.330073762402238,7,3,86,2,-0.3390898026047641,3,3,1,0.6844083361065528,0.6287656135360162,2,17,3,3,1,25,2,3,1,0,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,36-45,Low Salary,Executive Level,New Employee,0.0,Travel Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,Low Risk
35,0,-0.3433202431762513,1,3,88,2,0.645040522822686,3,1,1,-0.9155559114457648,-1.1868827328611855,4,13,3,4,1,5,2,2,3,2,1,2,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,26-35,,Entry Level,Junior Employee,0.0,Travel Frequently,Research & Development,Medical,Male,Research Scientist,Married,Medium Risk
36,1,-1.2010896149246324,9,3,90,4,0.645040522822686,2,1,3,-0.6618564012761143,1.0489830108367078,0,17,3,1,1,2,0,2,1,0,0,0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,36-45,,Entry Level,New Employee,0.07,Travel Rarely,Research & Development,Medical,Male,Research Scientist,Married,Medium Risk
